malware_name,nodes_num,edgs_num,,,
6419ce3bd58246910f4eceed06a5c92f.exe.gexf,9,9,,,
65c7203ec895c0da7035bf3fb6c7b26a.exe.gexf,9,7,,,
6a4c4ae55b8358c97cdac6e4b51d2966.exe.gexf,9,6,,,
6f239dcaa8567c6edc37f59a64c2a6f5.exe.gexf,9,8,,,
6fbff3d5774349aaebc472a391e15ba0.exe.gexf,9,11,,,
7a7139f35bc6a57ad087d1502e8b4047.exe.gexf,9,8,,,
7de5321c94fb4eaea2ad4fcdf45f9732.gexf,9,8,,,
8b81ab0d88a8f6ba40d6bc5d96c73718.exe.gexf,9,8,,,
91d0a005dca74ddbe4ff446bb185a00b.exe.gexf,9,9,,,
96064742dc5932675db6602c3db27d95.exe.gexf,9,11,,,
9c7626f3c24e07b62f2ec6058222c2d9.exe.gexf,9,11,,,
a38e19687d528a89f321034338748ef0.exe.gexf,9,9,,,
c2e7ef6bd4588b428b29376eafd9433c.exe.gexf,9,11,,,
ca1267e8e3207bb91f737346f1b37771.exe.gexf,9,11,,,
d005ea840060488e4f8375ed89987444.exe.gexf,9,7,,,
d4aab7272a62d4a9386d4328f2dbee71.gexf,9,8,,,
dc0a2353dc4a9cdcf7b0f959da258b4e.exe.gexf,9,8,,,
e629d7b5362a131823edff9cd2327144.exe.gexf,9,8,,,
f6d1ee1c0ef5f41b596062b1ae28320b.exe.gexf,9,11,,,
04fa6b2f6e38137f08fccd4a1340525e.exe.gexf,10,5,,,
55018eab3f1faf6078034db7e01f5a22.exe.gexf,10,12,,,
6c6e9125886cfaceebcba210397b7eb0.exe.gexf,10,5,,,
b55aec1e36b8157bee2e729a4f45147d.exe.gexf,10,8,,,
01adef510288e226102e062e371cdbc2.exe.gexf,11,9,,,
2451449d1635869cdc7ef980eb32d8ab.exe.gexf,11,9,,,
3f5874528a7d93afd12e0fc8fed57eba.exe.gexf,11,9,,,
502b00a1db30d6aacceb198bd1923dcb.exe.gexf,11,10,,,
53f9bbb09487b5d9be9e81ee311bd166.gexf,11,8,,,
6cbe5842f8485eeb70cff5f7f401422b.gexf,11,9,,,
815badccbf7195975cb6242725afcf08.gexf,11,8,,,
923b59fc23716fa1157c31627039659c.exe.gexf,11,9,,,
a1d81cefee61307fc0174ad27ba78bab.exe.gexf,11,9,,,
cf4736ef0382127fb47848a7d17c7d01.exe.gexf,11,9,,,
de2a0bf6acaba1a454d1f5a831dbd229.gexf,11,8,,,
f0ba78603684ed56a2e92bd6f1e9264e.gexf,11,8,,,
15ec82eeff094ade0e96dcd115dad98b.exe.gexf,12,11,,,
278b963f6ea5ff066fda52aa4062b54e.exe.gexf,12,11,,,
11f11efdc6e250712ec808dc54599840.exe.gexf,13,10,,,
12adb15a4f61be0ac86d152d2e02d8b2.exe.gexf,13,8,,,
2c944a50f4a94731613452f6477cbed3.gexf,13,11,,,
4ab0b5b51a0ea8f53a77726d8c409f02.exe.gexf,13,11,,,
4fe3aafd0c374895029dbbf5bfeb259b.exe.gexf,13,10,,,
5f3def3e63a49ff171990b9a12bf016c.exe.gexf,13,11,,,
6b5ea752f4752d93300034e9cfc16107.exe.gexf,13,11,,,
735275131d9cccc6f2f95718427eac88.exe.gexf,13,12,,,
8ea0b943abc75b5dcf027107f0df132b.exe.gexf,13,10,,,
ac0ecb65c15a9f9c47a14a7e74985dc7.exe.gexf,13,1,,,
fc574ec794d6480f25df1fcf0005a7c8.exe.gexf,13,12,,,
01cde2d68d2b5b8c5f8eb4e9829d28fc.exe.gexf,14,17,,,
3ea34bc96dbf6de919198377bb27a79e.exe.gexf,14,12,,,
6799f2c403a0eb0a708c260d8972582e.gexf,14,13,,,
696fb9d7e43f428634f31cf56361d7c3.exe.gexf,14,17,,,
72565e7a0145e0657e586f6cf7696dc7.exe.gexf,14,17,,,
7d64128bc1eece41196858897596ebc8.gexf,14,17,,,
8d2023e125c3034cbc09800c5aa65ae2.exe.gexf,14,12,,,
8fdf47e0ff70c40ed3a17014aeea4232.exe.gexf,14,11,,,
b7e1a779de0c6e7dfbdd97424e0ad000.exe.gexf,14,15,,,
d10a3cfcc08aae3a7234498f213cf89e.exe.gexf,14,11,,,
da224d4c138a3eca95c6c7976ac5d9f1.exe.gexf,14,17,,,
ff9d55b3307dec8763c2eeb899e5cc68.exe.gexf,14,8,,,
64f14e3bb2e3e1fff089fdb76e8315f5.exe.gexf,15,12,,,
86bb1f63e57bbe6573791bdb041586b5.gexf,15,12,,,
99ddf4c55c9071c690608317d72366b9.exe.gexf,15,10,,,
9db3d9a79217fa903c2efcad215ed077.exe.gexf,15,16,,,
d517f6b93c034f7c1fe68e379c01c417.exe.gexf,15,12,,,
2778ae0eb674b74ff8028bf4e51f1df5.exe.gexf,16,12,,,
cd1d6be865143789aba44a5b18034cdd.exe.gexf,16,6,,,
faa173acfcfca126a835c2d6d4c6557e.exe.gexf,16,13,,,
181673d62d051ae76a03c03e94770e45.exe.gexf,17,6,,,
25049d6c30456a4dc1f45d7013475ea6.gexf,17,10,,,
4966f62b2c09fd3470e5f0aa1522cea4.exe.gexf,17,20,,,
4b801b4888e974c00a90db82418da375.exe.gexf,17,8,,,
92142ffabc5d8d639987f16e0d597d8c.exe.gexf,17,8,,,
a7b84a03fd3bc82c27b98448672bf2ca.exe.gexf,17,14,,,
b5fcca2345d9eadc3c2fc45a1ab3d6d8.exe.gexf,17,13,,,
b6226882027630874b91b219478a4d87.exe.gexf,17,20,,,
c7729048ff9b09b8185fe0b408a5f481.gexf,17,16,,,
ccecab5736707197f5955d969ea17ab0.exe.gexf,17,15,,,
2ca8d36a3a9b9898350724855d032d23.exe.gexf,18,13,,,
2fbbc3a37232d6bbae2583935935e683.exe.gexf,18,15,,,
48acf6c62c12b52db4ae951858a3491b.exe.gexf,18,15,,,
ed9689986286c0a0d60b7e6bffcb92bb.exe.gexf,18,13,,,
14670fa5b5668f1ed7d605a53b2cf680.exe.gexf,19,25,,,
778829ca77dda2b2d325aa2f5367b587.exe.gexf,19,15,,,
